,LotFrontage,LotArea,OverallQual,OverallCond,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtUnfSF,BsmtFullBath,FullBath,HalfBath,KitchenAbvGr,TotRmsAbvGrd,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,PoolArea,LotShapeNum,LandSlopeNum,ExterQualNum,BsmtQualNum,BsmtCondNum,BsmtExposureNum,HeatingQCNum,CentralAirNum,ElectricalNum,KitchenQualNum,FunctionalNum,FireplaceQuNum,GarageQualNum,GarageFinishNum,TotalSF,HouseAge,MSZoningNum,LotConfigNum,MasVnrTypeNum,PavedDriveNum,MSSubClass_160,MSSubClass_180,MSSubClass_190,MSSubClass_20,MSSubClass_30,MSSubClass_40,MSSubClass_45,MSSubClass_50,MSSubClass_60,MSSubClass_70,MSSubClass_75,MSSubClass_80,MSSubClass_85,MSSubClass_90,Street_Pave,Alley_NoAlley,Alley_Pave,LandContour_HLS,LandContour_Low,LandContour_Lvl,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Condition1_Feedr,Condition1_Norm,Condition1_PosA,Condition1_PosN,Condition1_RRAe,Condition1_RRAn,Condition1_RRNe,Condition1_RRNn,Condition2_Feedr,Condition2_Norm,Condition2_PosA,Condition2_PosN,Condition2_RRAe,Condition2_RRAn,Condition2_RRNn,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,RoofMatl_Membran,RoofMatl_Metal,RoofMatl_Roll,RoofMatl_Tar&Grv,RoofMatl_WdShake,RoofMatl_WdShngl,Exterior1st_AsphShn,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_Stone,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Exterior2nd_AsphShn,Exterior2nd_Brk Cmn,Exterior2nd_BrkFace,Exterior2nd_CBlock,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_ImStucc,Exterior2nd_MetalSd,Exterior2nd_Other,Exterior2nd_Plywood,Exterior2nd_Stone,Exterior2nd_Stucco,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,Exterior2nd_Wd Shng,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_NoGarage,Fence_GdWo,Fence_MnPrv,Fence_MnWw,Fence_NoFence,MiscFeature_NoMisc,MiscFeature_Othr,MiscFeature_Shed,MiscFeature_TenC,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_New,SaleType_Oth,SaleType_WD,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial
0,4.189654742026425,9.042040056544483,2.0794415416798357,1.791759469228055,7.602900462204755,5.2832037287379885,6.561030665896573,5.017279836814924,0.6931471805599453,1.0986122886681098,0.6931471805599453,0.6931471805599453,2.1972245773362196,1.0986122886681098,6.3080984415095305,0.0,4.127134385045092,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,1.3862943611198906,1.6094379124341003,1.3862943611198906,0.6931471805599453,1.6094379124341003,0.6931471805599453,1.6094379124341003,1.3862943611198906,2.0794415416798357,0.0,1.3862943611198906,1.0986122886681098,7.8504931808711405,2.0794415416798357,1.0986122886681098,0.0,0.6931471805599453,1.0986122886681098,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,4.394449154672439,9.169622538697624,1.9459101490553132,2.1972245773362196,7.589335823170617,0.0,6.88653164253051,5.652489180268651,0.0,1.0986122886681098,0.0,0.6931471805599453,1.9459101490553132,1.0986122886681098,6.133398042996649,5.700443573390687,0.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,1.0986122886681098,1.6094379124341003,1.3862943611198906,1.6094379124341003,1.6094379124341003,0.6931471805599453,1.6094379124341003,1.0986122886681098,2.0794415416798357,1.3862943611198906,1.3862943611198906,1.0986122886681098,7.83399634170946,3.5553480614894135,1.0986122886681098,0.0,0.0,1.0986122886681098,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2,4.23410650459726,9.328212292571072,2.0794415416798357,1.791759469228055,7.602401335665818,5.093750200806762,6.18826412308259,6.075346031088684,0.6931471805599453,1.0986122886681098,0.6931471805599453,0.6931471805599453,1.9459101490553132,1.0986122886681098,6.411818267709897,0.0,3.7612001156935624,0.0,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,1.6094379124341003,1.3862943611198906,1.0986122886681098,1.6094379124341003,0.6931471805599453,1.6094379124341003,1.3862943611198906,2.0794415416798357,1.3862943611198906,1.3862943611198906,1.0986122886681098,7.903596289614301,2.302585092994046,1.0986122886681098,0.0,0.6931471805599453,1.0986122886681098,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3,4.110873864173311,9.164401140034737,2.0794415416798357,1.791759469228055,7.58629630715272,0.0,5.37989735354046,6.293419278846481,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,2.0794415416798357,1.3862943611198906,6.466144724237619,0.0,3.58351893845611,5.60947179518496,0.0,0.0,0.0,0.6931471805599453,1.0986122886681098,1.3862943611198906,1.6094379124341003,0.6931471805599453,1.3862943611198906,0.6931471805599453,1.6094379124341003,1.3862943611198906,2.0794415416798357,1.6094379124341003,1.3862943611198906,0.6931471805599453,7.813591552952433,4.564348191467836,1.0986122886681098,0.0,0.0,1.0986122886681098,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,4.442651256490317,9.565283817736766,2.1972245773362196,1.791759469228055,7.601402334583733,5.860786223465865,6.486160788944089,6.19644412779452,0.6931471805599453,1.0986122886681098,0.6931471805599453,0.6931471805599453,2.302585092994046,1.3862943611198906,6.729824070489475,5.262690188904886,4.442651256490317,0.0,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,1.6094379124341003,1.3862943611198906,1.3862943611198906,1.6094379124341003,0.6931471805599453,1.6094379124341003,1.3862943611198906,2.0794415416798357,1.3862943611198906,1.3862943611198906,1.0986122886681098,8.114922974204593,2.3978952727983707,1.0986122886681098,0.0,0.6931471805599453,1.0986122886681098,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
5,4.454347296253507,9.55506418479516,1.791759469228055,1.791759469228055,7.59890045687141,0.0,6.597145701886651,4.174387269895637,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.791759469228055,1.0986122886681098,6.175867270105761,3.713572066704308,3.4339872044851463,0.0,0.0,0.0,0.0,0.6931471805599453,1.0986122886681098,1.6094379124341003,1.3862943611198906,0.6931471805599453,1.6094379124341003,0.6931471805599453,1.6094379124341003,1.0986122886681098,2.0794415416798357,0.0,1.3862943611198906,0.6931471805599453,7.677400430514807,2.8903717578961645,1.0986122886681098,0.0,0.0,1.0986122886681098,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
6,4.330733340286331,9.218804450388312,2.1972245773362196,1.791759469228055,7.603897968521881,5.231108616854587,7.222566018822171,5.762051382780177,0.6931471805599453,1.0986122886681098,0.0,0.6931471805599453,2.0794415416798357,1.0986122886681098,6.456769655572163,5.545177444479562,4.060443010546419,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,1.3862943611198906,1.791759469228055,1.3862943611198906,1.3862943611198906,1.6094379124341003,0.6931471805599453,1.6094379124341003,1.3862943611198906,2.0794415416798357,1.6094379124341003,1.3862943611198906,1.0986122886681098,8.125926802707886,1.9459101490553132,1.0986122886681098,0.0,1.0986122886681098,1.0986122886681098,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
7,4.417979652082633,9.247925132303454,2.0794415416798357,1.9459101490553132,7.587817219993427,5.484796933490655,6.756932389247553,5.37989735354046,0.6931471805599453,1.0986122886681098,0.6931471805599453,0.6931471805599453,2.0794415416798357,1.0986122886681098,6.184148890937483,5.4638318050256105,5.3230099791384085,5.43372200355424,0.0,0.0,0.0,0.6931471805599453,1.0986122886681098,1.6094379124341003,1.3862943611198906,1.0986122886681098,1.6094379124341003,0.6931471805599453,1.6094379124341003,1.0986122886681098,2.0794415416798357,1.3862943611198906,1.3862943611198906,1.0986122886681098,8.0702808933939,3.6375861597263857,1.0986122886681098,0.0,1.0986122886681098,1.0986122886681098,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
8,3.9512437185814275,8.71948076085107,2.0794415416798357,1.791759469228055,7.576097340623111,0.0,0.0,6.859614903654202,0.0,1.0986122886681098,0.0,1.0986122886681098,2.1972245773362196,1.0986122886681098,6.150602768446279,4.51085950651685,0.0,5.327876168789581,0.0,0.0,0.6931471805599453,0.6931471805599453,1.0986122886681098,1.3862943611198906,1.3862943611198906,0.6931471805599453,1.3862943611198906,0.6931471805599453,0.6931471805599453,1.0986122886681098,1.9459101490553132,1.3862943611198906,1.0986122886681098,0.6931471805599453,7.910957382845589,4.382026634673881,0.6931471805599453,0.0,0.0,1.0986122886681098,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,3.9318256327243257,8.912069097970134,1.791759469228055,1.9459101490553132,7.576097340623111,0.0,6.747586526829315,4.948759890378168,0.6931471805599453,0.6931471805599453,0.0,1.0986122886681098,1.791759469228055,0.6931471805599453,5.327876168789581,0.0,1.6094379124341003,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,1.0986122886681098,1.3862943611198906,1.3862943611198906,0.6931471805599453,1.6094379124341003,0.6931471805599453,1.6094379124341003,1.0986122886681098,2.0794415416798357,1.3862943611198906,1.6094379124341003,1.0986122886681098,7.634820677745543,4.276666119016055,1.0986122886681098,0.0,0.0,1.0986122886681098,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
